Scenario, perm_x_aq, perm_y_aq, perm_x_cap, perm_y_cap, depth, aq_thickness, injected_fluid_mass, injected_temp, inject_time, store_time, produce_time, rest_time, T_ambient, P_ambient, enthalpy_i, enthalpy_a, RE1, RE2, RE3, RE4, RE5
8hr_1000m_disp0m_0367,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,200,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,855950.7921,178103.3142,0.845686144,0.88836634,0.907133115,0.918722266,0.926415358
8hr_1000m_disp0m_0368,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,250,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1085720.132,178103.3142,0.841991215,0.885179188,0.904881442,0.916632332,0.924651488
8hr_1000m_disp0m_0369,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,40,1000000,300,0.3333,0.1667,0.3333,0.1667,40.4,10076181.4,1343009.791,178103.3142,0.834848372,0.879558602,0.900823851,0.912437734,0.920926125
8hr_1000m_disp0m_0370,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,90,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,384794.3948,179020.3578,0.835193842,0.879362622,0.899392115,0.911346972,0.919509474
8hr_1000m_disp0m_0371,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,150,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,638292.9307,179020.3578,0.83383151,0.878624616,0.898606403,0.910780187,0.919124493
8hr_1000m_disp0m_0372,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,200,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,855993.0755,179020.3578,0.831878114,0.877097035,0.897413439,0.909821272,0.918312836
8hr_1000m_disp0m_0373,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,250,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1085724.036,179020.3578,0.828424124,0.873932998,0.895070109,0.907883049,0.91654393
8hr_1000m_disp0m_0374,1.00E-12,1.00E-13,1.00E-16,1.00E-17,1000,60,1000000,300,0.3333,0.1667,0.3333,0.1667,40.6,10173987.1,1342898.838,179020.3578,0.821225101,0.868274303,0.890610494,0.903590356,0.912704383
8hr_1000m_disp0m_0401,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,5,1000000,150,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,638123.8574,176498.2761,0.852309473,0.888979025,0.905577373,0.917594116,0.923542688
8hr_1000m_disp0m_0402,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,5,1000000,200,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,855876.8714,176498.2761,0.848340798,0.887355501,0.904776767,0.915001466,0.923377153
8hr_1000m_disp0m_0403,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,5,1000000,250,0.3333,0.1667,0.3333,0.1667,40.05,9905021.425,1085713.541,176498.2761,0.84415997,0.88520667,0.901681235,0.912854884,0.919967885
8hr_1000m_disp0m_0405,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,10,1000000,90,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,384604.8204,176727.5838,0.864130312,0.899564561,0.91564947,0.92608341,0.932980609
8hr_1000m_disp0m_0406,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,10,1000000,150,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,638139.2243,176727.5838,0.863228887,0.90029881,0.9165585,0.926605292,0.933426354
8hr_1000m_disp0m_0407,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,10,1000000,200,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,855887.4256,176727.5838,0.861569483,0.898807549,0.915627325,0.925443019,0.932868319
8hr_1000m_disp0m_0408,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,10,1000000,250,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1085714.463,176727.5838,0.857435422,0.896068235,0.912877023,0.923353432,0.930410599
8hr_1000m_disp0m_0409,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,10,1000000,300,0.3333,0.1667,0.3333,0.1667,40.1,9929472.85,1343177.295,176727.5838,0.849344432,0.889035785,0.908879509,0.919421622,0.926499703
8hr_1000m_disp0m_0410,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,20,1000000,90,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,384642.7346,177186.1827,0.862236972,0.899886972,0.916393999,0.92644194,0.933483313
8hr_1000m_disp0m_0411,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,20,1000000,150,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,638169.9601,177186.1827,0.861577112,0.899535869,0.916508867,0.926870015,0.934176988
8hr_1000m_disp0m_0412,1.00E-12,2.00E-14,1.00E-16,1.00E-17,1000,20,1000000,200,0.3333,0.1667,0.3333,0.1667,40.2,9978375.7,855908.54,177186.1827,0.85969814,0.897588909,0.915352497,0.926312102,0.933087786
