pressure, temperature, density, viscosity, enthalpy, internal_energy
604040,501.515,911.214,0.000174943,658857,658194
604040,504.798,911.214,0.000174943,658857,658194
604040,508.081,911.214,0.000174943,658857,658194
604040,511.364,911.214,0.000174943,658857,658194
604040,514.646,911.214,0.000174943,658857,658194
604040,517.929,911.214,0.000174943,658857,658194
604040,521.212,911.214,0.000174943,658857,658194
604040,524.495,911.214,0.000174943,658857,658194
604040,527.778,911.214,0.000174943,658857,658194
604040,531.061,911.214,0.000174943,658857,658194
604040,534.343,911.214,0.000174943,658857,658194
604040,537.626,911.214,0.000174943,658857,658194
604040,540.909,911.214,0.000174943,658857,658194
604040,544.192,911.214,0.000174943,658857,658194
604040,547.475,911.214,0.000174943,658857,658194
604040,550.758,911.214,0.000174943,658857,658194
604040,554.04,911.214,0.000174943,658857,658194
604040,557.323,911.214,0.000174943,658857,658194
604040,560.606,911.214,0.000174943,658857,658194
604040,563.889,911.214,0.000174943,658857,658194
604040,567.172,911.214,0.000174943,658857,658194
604040,570.455,911.214,0.000174943,658857,658194
604040,573.737,911.214,0.000174943,658857,658194
604040,577.02,911.214,0.000174943,658857,658194
